time,open,high,low,close,Lag 0
1710000000,68380.87,68414.98,68113.04,68243.07,90.48619005182
1710007200,68245.33,68433.11,68216.12,68302.66,90.47160058588
1710014400,68301.43,68509.08,68291.26,68470.23,90.45520189926
1710021600,68469.5,68498.84,68344.32,68401.77,90.42611251766
1710028800,68402.03,69326.45,68308.2,69032.55,90.42057682922
1710036000,69041.06,69278.75,68796.06,69200.17,90.37109386004
1710043200,69201.82,69700.74,69097.81,69423.9,90.41812087812
1710050400,69423.6,69491.21,69154.63,69437.86,90.39921729298
1710057600,69441.57,69932,69273.82,69855.83,90.41780447802
1710064800,69868.61,69943,69501.22,69653.5,90.42504877944
1710072000,69650.78,69914.82,69232.42,69415.02,90.39693705992
1710079200,69414.76,69556.56,68773.25,69294.05,90.33237074828
1710086400,69291.96,69835.22,69271.59,69508.02,90.33014997024
1710093600,69508.1,69546.17,69217.66,69479.2,90.2767196785
1710100800,69479.13,69523.53,69152.75,69158.5,90.30880496512
1710108000,69160.5,69165.87,68179.76,69012.3,90.30939861714
1710115200,69008.98,69010.95,67104.88,68309.07,90.41210196818
1710122400,68309.07,68616.48,68268.98,68590.31,90.50600219104
1710129600,68597.14,68785.71,68477.96,68553.99,90.48843123812
1710136800,68549.91,71233.88,68472.13,71020.41,90.4826871222
1710144000,71022.66,71789.78,71012.27,71741,90.4949628765
1710151200,71743.74,72209.66,71262.68,71487.85,90.49020185168
1710158400,71486.14,72330.8,71326.91,71480.3,90.46180705084
1710165600,71484.7,72658.74,71482.17,72023.53,90.45313408276
1710172800,72029.91,72604.68,71818.25,72515.28,90.44967962188
1710180000,72515.53,72827.35,71787.01,71977.9,90.43726205972
1710187200,71990.96,72565.26,71862.3,72512.86,90.43402011632
1710194400,72513.92,72728.25,72056.95,72066.5,90.3732000347
1710201600,72064.52,72452.93,71915.75,72425.34,90.42854749594
1710208800,72414.56,72414.59,71381.29,71589.32,90.42902212196
1710216000,71585.67,72032.57,71306.31,71967.11,90.4001211219
1710223200,71963.27,72325.03,71439.75,72118,90.37922686132
1710230400,72116.75,72168.95,71421.17,71919.15,90.37982325884
1710237600,71912.97,72315.35,71635.32,72011.13,90.39010110868
1710244800,72014.07,72299.65,71464.07,72275.74,90.42284503048
1710252000,72275.98,72960.41,70856.58,71608.19,90.3847263549
1710259200,71611.94,71738.95,68564.05,70995.42,90.40104618122
1710266400,70990.05,71585.43,70360.84,71323.34,90.3540395979
1710273600,71323.51,71328.88,70585.69,70789.29,90.36747439744
1710280800,70776.58,71471.43,70625.43,71413.66,90.43458012134
1710288000,71414.81,72068.33,71297.35,71988.52,90.53475668484
1710295200,71987.15,72197.02,71860.73,72049.33,90.52737179646
1710302400,72048.43,72210.2,71924.72,72179.59,90.52429918766
1710309600,72179.91,73119.22,72124.98,72876.35,90.55164459652
1710316800,72873.57,73655.37,72853.65,73302.89,90.57751602866
1710324000,73308.72,73446.75,73068.93,73075.97,90.57273614908
1710331200,73081.14,73190.19,71525.13,72160.82,90.4966888881
1710338400,72166.18,73114.67,72024.26,72692.75,90.4716270058
1710345600,72691.94,73217.01,72389.65,72867.92,90.48528390536
1710352800,72870.77,73441.03,72773.25,73420.32,90.52327731808
1710360000,73430.03,73456.35,72983.25,73265.76,90.64368752742
1710367200,73271.51,73294.91,72868.9,73084.11,90.7030051661
1710374400,73086.44,73187.05,72523.75,72929.4,90.64371310352
1710381600,72929.63,73300.13,72819.02,73262.09,90.6093934186
1710388800,73259.11,73637.16,72686.5,73151.11,90.60584185162
1710396000,73150.14,73757.39,73121.51,73228.12,90.60564642358
1710403200,73227.99,73546.39,73182.74,73328.06,90.60365461836
1710410400,73328.3,73338.84,72650.13,72869.25,90.60365461836
1710417600,72869.37,73035.12,71441.4,71848.33,90.60365461836
1710424800,71846.81,72501.48,70532.15,70813.45,90.60365461836
1710432000,70813.54,71394.45,69811.13,71009.73,90.60365461836
1710439200,71006.86,71008.46,68523.59,69306.75,90.60365461836
1710446400,69300.31,71102.31,69230.46,71050.01,90.60365461836
1710453600,71049.26,71676,71041.12,71364.95,90.60365461836
1710460800,71368.47,72400.22,71222.88,71578.55,90.60365461836
1710468000,71575.38,71696.59,66537.07,68186.29,90.60365461836
1710475200,68188.54,68448.24,66884.34,67381.96,90.60365461836
1710482400,67395.03,68828.48,67388.38,68414.06,90.60365461836
1710489600,68421.56,68543.77,65548.68,67760.91,90.60365461836
1710496800,67762.27,68049,66721.37,67696,90.60365461836
1710504000,67708.63,68635.61,67431.27,68445.1,90.60365461836
1710511200,68441.67,68715.01,67846.72,68147.46,90.60365461836
1710518400,68146.67,68403.79,67498.62,68206.36,90.60365461836
1710525600,68211.61,70607.14,68199.99,68950.47,90.60365461836
1710532800,68948.75,68966.03,67431.36,68267.84,90.60365461836
1710540000,68269.22,69763.41,68209.05,69507.92,90.60365461836
1710547200,69507.19,70043,69071.36,69280.83,90.60365461836
1710554400,69293.45,69417.83,68948.22,69200.7,90.60365461836
1710561600,69197.02,69283.27,68586.38,68963.84,90.60365461836
1710568800,68961.59,69435.8,68912.26,69417.82,90.60365461836
1710576000,69411.3,69412.1,68851.46,68938.94,90.60365461836
1710583200,68953.96,68985.04,67699.73,68254.55,90.59004945972
1710590400,68250.55,68431.94,67667.53,67697.85,90.6001399777
